name,team,salary
Andrea Pirlo,Juventus,3.5
Bastian Schweinsteiger,Bayern Munich,10.0
David Silva,Manchester City,8.7
Demy de Zeeuw,Spartak Moscow,3
Didier Drogba,Shanghai Shenhua,8.1
Diego Milito,Internazionale,4.5
Dirk Kuyt,Galatasaray,3.3
Eden Hazard,Chelsea,6.6
Emmanuel Adebayor,Tottenham Hotspur,6.5
Esteban Cambiasso,Manchester City,4
Fernando Torres,Chelsea,10.8
Francesco Totti,AS Roma,5.2
Franck Ribery,Bayern Munich,10.0
Frank Lampard,Chelsea,8.2
Gianluigi Buffon,Juventus,6.0
Gregory van der Wiel,Paris St. Germain,3.6
Jan Vertonghen,Tottenham Hotspur,3.9
Kaka,Real Madrid,10.0
Karim Benzema,Real Madrid,8.1
Klaas-Jan Huntelaar,Schalke 04,8
Lassana Diarra,Anzhi Makhachkala,5
Lionel Messi,Barcelona,10.5
Maicon,Manchester City,4
Mario Balotelli,Manchester City,6.5
Michael Owen,Stoke City,1.6
Miroslav Klose,Lazio Roma,2.1
Nigel de Jong,AC Milan,3.0
Rafael van der Vaart,HSV Hamburg,2.0
Robin van Persie,Manchester United,13.0
Robinho,AC Milan,4
Samir Nasri,Manchester City,11
Samuel Eto'o,Anzhi Makhachkala,20.0
Sergio Aguero,Manchester City,12.5
Torsten Frings,Toronto FC,1.9
Wayne Rooney,Manchester United,13.8
Wesley Sneijder,Internazionale,6.0
Xavi,Barcelona,7.5
Yaya Toure,Manchester City,13.8
Zlatan Ibrahimovic,Paris St. Germain,14.0
